Day,Avg precip,Avg low,Avg high,Min low,Max high,Min low year,Max high year
01/01,0.15306930693069307,14.128712871287128,33.42574257425743,-20,59,-20,59
01/02,0.08564356435643564,14.762376237623762,35.26732673267327,-23,59,-23,59
01/03,0.1529,15.14,34.42,-17,61,-17,61
01/04,0.1291089108910891,15,33.04950495049505,-21,68,-21,68
01/05,0.1103,15.07,34.12,-17,61,-17,61
01/06,0.14182692307692307,14.586538461538462,34.56730769230769,-19,68,-19,68
01/07,0.17627450980392156,16.058823529411764,34.254901960784316,-13,61,-13,61
01/08,0.11232323232323232,14.414141414141413,32.75757575757576,-9,55,-9,55
01/09,0.1061,13.98,32.23,-14,58,-14,58
01/10,0.12368932038834951,14.29126213592233,33.19417475728155,-16,55,-16,55
01/11,0.09729166666666667,12.020833333333334,32.71875,-25,57,-25,57
01/12,0.13431372549019607,13.372549019607844,33.254901960784316,-25,60,-25,60
01/13,0.07754901960784313,13.872549019607844,33.745098039215684,-16,59,-16,59
01/14,0.1134,12,33.42,-21,65,-21,65
01/15,0.14247619047619048,14.504761904761905,33.19047619047619,-20,61,-20,61
01/16,0.15177083333333333,11.6875,32.625,-20,62,-20,62
01/17,0.06673267326732674,11.05940594059406,32.693069306930695,-18,55,-18,55
01/18,0.12484848484848485,11.404040404040405,33.18181818181818,-24,59,-24,59
01/19,0.08601941747572815,12.009708737864077,33.09708737864078,-24,58,-24,58
01/20,0.14073684210526316,12.8,33.31578947368421,-30,56,-30,56
01/21,0.13802083333333334,12.927083333333334,34.260416666666664,-17,63,-17,63
01/22,0.11396039603960396,13.227722772277227,34.603960396039604,-27,62,-27,62
01/23,0.1281,14.11,35.2,-18,66,-18,66
01/24,0.1479,12.83,33.8,-28,62,-28,62
01/25,0.18566037735849056,15.047169811320755,34.424528301886795,-11,57,-11,57
01/26,0.11168421052631579,13.463157894736842,33.85263157894737,-21,64,-21,64
01/27,0.1246,14.18,34.56,-22,61,-22,61
01/28,0.08591836734693878,13.316326530612244,33.724489795918366,-16,60,-16,60
01/29,0.1122,13.27,33.02,-17,52,-17,52
01/30,0.1116326530612245,13.755102040816327,33.89795918367347,-8,58,-8,58
01/31,0.0833,12.82,33.16,-15,60,-15,60
02/01,0.06403846153846154,13.653846153846153,33.55769230769231,-21,63,-21,63
02/02,0.12752380952380954,12.142857142857142,33.78095238095238,-15,60,-15,60
02/03,0.1011,13.94,32.76,-21,59,-21,59
02/04,0.14342592592592593,12.527777777777779,33.675925925925924,-19,60,-19,60
02/05,0.11125,13.192307692307692,33.29807692307692,-19,61,-19,61
02/06,0.10782178217821782,13.148514851485148,32.91089108910891,-17,53,-17,53
02/07,0.15231481481481482,14.842592592592593,33.574074074074076,-11,52,-11,52
02/08,0.12358490566037736,13.61320754716981,34.575471698113205,-18,65,-18,65
02/09,0.09018867924528302,12.547169811320755,33.85849056603774,-10,56,-10,56
02/10,0.08293577981651376,13.81651376146789,34.36697247706422,-12,56,-12,56
02/11,0.08689320388349515,13.048543689320388,34.28155339805825,-22,61,-22,61
02/12,0.10784313725490197,11.480392156862745,33.78431372549019,-19,63,-19,63
02/13,0.1396078431372549,12.215686274509803,33.68627450980392,-19,58,-19,58
02/14,0.13805555555555557,14.342592592592593,35.333333333333336,-13,57,-13,57
02/15,0.1445945945945946,15.774774774774775,36.567567567567565,-17,59,-17,59
02/16,0.08775510204081632,15.112244897959183,36.59183673469388,-16,59,-16,59
02/17,0.14375000000000002,14.990384615384615,34.96153846153846,-15,60,-15,60
02/18,0.12656862745098038,15.176470588235293,36.166666666666664,-18,67,-18,67
02/19,0.11883495145631068,16.563106796116504,37.51456310679612,-10,63,-10,63
02/20,0.10415094339622641,17.9811320754717,38.4622641509434,-11,64,-11,64
02/21,0.0961764705882353,17.372549019607842,37.80392156862745,-12,73,-12,73
02/22,0.12865384615384615,18.23076923076923,38.875,-11,71,-11,71
02/23,0.13304761904761905,19.266666666666666,38.50476190476191,-12,67,-12,67
02/24,0.12346534653465346,18.26732673267327,37.445544554455445,-16,64,-16,64
02/25,0.2158252427184466,17.49514563106796,38.1747572815534,-12,61,-12,61
02/26,0.10349056603773585,16.82075471698113,37.4811320754717,-15,69,-15,69
